groupid,event_id,created,name,status,time,updated,yes_rsvp_count,attendance_count,event_url,description,venue.id,venue.name,venue.lat,venue.lon,city,country
45494,251132001,1527346212000,Sunday Holiday Sunset Cruise,past,1527456600000,1527475318000,2,2,https://www.meetup.com/nycphotography/events/251132001/,"<p>Mix, mingle, drink &amp; dance the night away with a panoramic view of the NYC skyline, Statue Of Liberty, Brooklyn Bridge, Freedom Tower etc. on a 100 ft, 2-deck private yacht.</p> <p>This is a multi-Meetup and very popular event! It will SELL OUT so if you'd like to attend, please get your ticket ASAP.</p> <p><a href=""https://www.eventbrite.com/e/upscale-sunset-holiday-party-cruise-tickets-46471623878"">Tickets Here</a></p> <p>What's included:<br/>• Free Light Appetizers<br/>• DJ<br/>• Ice Breakers<br/>• Cash bar<br/>• Prizes<br/>• 200+ singles (20s-40s)</p> <p>*50% off limited tickets available for $25 ($50 otherwise). Price will go up as event gets closer, so get yours today!</p> <p>The boat will sail rain or shine! The boat has two levels. The main level is heated and enclosed and there is an outside deck on the second level.</p> <p>• Boarding begins at 5:45pm. The boat will depart at 6pm SHARP! Please arrive on time - if you arrive 10 minutes late, the boat will be gone!</p> <p>• There is paid parking at the marina, or you can try to find parking on the street. To get street parking, please arrive early to look around. By subway, take 6, N, R lines to 23rd Street, walk 4 blocks east - the Marina will be in front of you.</p> <p>• There is no strict dress code, but we recommend ""neat casual"". Age range is 21 and older (20s-40s). Not meant be ethnic-specific or completely gender balanced.</p> <p>Like us on FaceBook @blueanchornyc</p> ",12879522,The Cabana Yacht,40.738040924072266,-73.9736557006836,New York,us
45494,250636632,1525917595000,Indian bridal shoot with Monica,past,1527431400000,1527444086000,2,2,https://www.meetup.com/nycphotography/events/250636632/,"<p>If you missed the Indian bridal shoot, don’t worry!! we’re doing it again, this time with me!</p> <p>Sun 5/27 10:30am-12:30pm - $160<br/>Central Park in front of foliage/flowering trees<br/>same pink dress shown on sheena (see event pics)<br/>professional makeup done by Nichole</p> <p>I will have bridal henna on my hands!!!</p> <p>pictures of me during our last Indian bridal shoot where Nichole did makeup/henna</p> ",Null,Null,Null,Null,Null,Null
45494,250791669,1526341178000,Friday Night Dance Cruise,past,1527289200000,1527343418000,8,8,https://www.meetup.com/nycphotography/events/250791669/,"<p>Join us for an incredible Sunset Cruise with an awesome early bird special! There will be dancing, drinking and a live Fashion Show</p> <p>More Info and Tickets at the early bird price below (while they last)</p> <p><a href=""https://www.eventbrite.com/e/80s-dance-cruise-with-a-fashion-show-tickets-46091132819"" class=""linkified"">https://www.eventbrite.com/e/80s-dance-cruise-with-a-fashion-show-tickets-46091132819</a></p> ",19926322,"Pier 40 at Houston Street @ the Hudson River/West Side Highway, at the north side of the pier.",40.78200149536133,-73.83350372314453,New York,us
45494,250589909,1525811451000,Floral bodypaint photoshoot ,past,1526155200000,1526168664000,10,10,https://www.meetup.com/nycphotography/events/250589909/,"<p>Floral body paint shoot!</p> <p>Sat 5/12 - around 4pm<br/>(whenever body paint if finished)<br/>model: me</p> <p>professional certified makeup artist:<br/><a href=""https://www.marissasobanski.com/"" class=""linkified"">https://www.marissasobanski.com/</a></p> <p>Inspiration picture posted in pictures section of this meetup event.</p> <p>Body paint will be floral and incorporating real flowers. I will be buying a black light for the shoot. Flowers will be painted on the sides of my body - arms, legs, neck, and face.</p> <p>please message for rates for this very special shoot. looking for 1-2 photographers who are excited to add body paint to their portfolio.</p> ",25827013,Bushwick,40.67966079711914,-73.98423767089844,Brooklyn,us
45494,250104031,1524589218000,"""Cinco de Mayo"" Penthouse Party (2-1 Drinks, Comp Apps, DJ, Giveaways)",past,1525564800000,1525588071000,30,30,https://www.meetup.com/nycphotography/events/250104031/,"<p>*PREPAY &amp; SAVE - <a href=""https://dljparty.ticketleap.com/upscale-penthouse-party/dates/"" class=""linkified"">https://dljparty.ticketleap.com/upscale-penthouse-party/dates/</a></p> <p>We're once again getting together with other groups to organize the LARGEST Cinco de Mayo Meetup Party! And this year it falls on a Saturday so it will be bigger than ever!!</p> <p>Plus, we'll have 2 For 1 Drinks, Complimentary Appetizers, DJ, Dancing, Giveaways &amp; More all on the 20th Fl. Empire Room! You will also have free access to the rooftop.</p> <p>Cinco de Mayo is the perfect excuse to have a couple of cervezas and make some new amigos! Come out with us and celebrate one of the most fun holidays of the year!</p> <p>Join us at this very popular, upscale party at one of NYC's most exclusive penthouse lounges - surrounded by floor to ceiling windows with breathtaking panoramic views of the NYC skyline.</p> <p>What to expect:<br/>• 2 for 1 Drinks (8-9pm)<br/>• Free Light Appetizers<br/>• Ice Breakers<br/>• DJ &amp; Dancing<br/>• Giveaways</p> <p>What's the venue like? 230 Fifth was voted #1 by Citysearch for Best New Bars/Lounges in New York City Voted ,#2 Best New Bar/Lounge in the United States by Citysearch, and voted #1 ""To Do"" in New York by Spur.</p> <p>How many will attend? This is a multi-Meetup event. This page only shows a small portion of the actual attendees. 300+ members will be attending just like our past events.</p> <p>Is this event private? Yes. Members can invite guests to join us. We'll be on the 20th Fl (Empire Room).</p> <p>Is there a dress code or age restriction? No hats, sweats, shorts, t-shirts etc. Jeans ok. Dress stylish. General age range 21-55.</p> <p>Can I come alone? Most come on their own. Come alone or bring a friend - either way you'll feel comfortable and have a great time.</p> <p>*Get tickets here - <a href=""https://dljparty.ticketleap.com/upscale-penthouse-party/dates/"" class=""linkified"">https://dljparty.ticketleap.com/upscale-penthouse-party/dates/</a></p> <p>*Limited # are just $15 with discount code ""5"" at checkout. Price will go up as event gets closer. $30 at door w/ RSVP, $35 w/o.</p> ",18663172,230 5th Ave. Penthouse,40.743961334228516,-73.9878921508789,New York,us
45494,250191479,1524786545000,Saturday Night Sunset Fashion Cruise ,past,1525557600000,1525580907000,4,4,https://www.meetup.com/nycphotography/events/250191479/,"<p>Join us for an incredible Sunset Cruise with an awesome early bird special! There will be dancing, drinking and a live Fashion Show</p> <p>More Info and Tickets at the early bird price below (while they last)</p> <p><a href=""https://www.eventbrite.com/e/cinco-de-mayo-sunset-fashion-cruise-tickets-45538523951"" class=""linkified"">https://www.eventbrite.com/e/cinco-de-mayo-sunset-fashion-cruise-tickets-45538523951</a></p> ",19926322,"Pier 40 at Houston Street @ the Hudson River/West Side Highway, at the north side of the pier.",40.78200149536133,-73.83350372314453,New York,us
45494,250284992,1525038098000,Upscale Gallery Style Mixer - Photography & Art,past,1525473000000,1525491953000,6,6,https://www.meetup.com/nycphotography/events/250284992/,"<p>We wanted to add a fun twist to the standard mixer so we're having some of NYC's best up and coming artists display their artwork. While mingling and meeting lots of people you'll have a chance to check out their fantastic artwork.</p> <p>What else to expect:<br/>*FREE Appetizers until 8:30pm<br/>*Drink Specials<br/>*Icebreakers<br/>*Free Prizes raffled off</p> <p><a href=""https://www.eventbrite.com/e/upscale-mingle-mixer-art-gallery-style-comp-apps-prizes-more-tickets-45630506072"" class=""linkified"">https://www.eventbrite.com/e/upscale-mingle-mixer-art-gallery-style-comp-apps-prizes-more-tickets-45630506072</a></p> <p>10 Prizes Will Be Raffled Off! (ie. everyone gets half a playing card. If you find the other half of your card while mingling you'll get a raffle ticket for a chance to win a prize!)</p> <p>*This is a Multi-Meetup group event. Over 10 other Meetup groups have also been invited. The RSVP list on Meetup is only a small portion of actual attendees.</p> <p>Nothing gets a great conversation going like gazing upon great artwork so come on out, have some cocktails and make connections. We've witnessed countless relationships, business connections and friendships form at our past events.</p> <p>FAQs:<br/>Can I come alone? Absolutely! Typically about 70% of the crowd comes alone. It's the perfect place to meet a lot of friendly professionals.</p> <p>What is the suggested age range? All ages are welcome 21 and over. (Whatever your age, you'll find plenty of people in your age range to mingle with).</p> <p>How many people will be there? Based on past events we expect up to 100 people to be in attendance.</p> ",23667321,Playwright Irish Pub,40.74980545043945,-73.98519134521484,New York,US
45494,250191791,1524787509000,No Cover - Fashion Thursday - Cameras Welcome!!!!,past,1525388400000,1525416089000,12,12,https://www.meetup.com/nycphotography/events/250191791/,<p>Join us for a no cover Happy Hour and Networking event followed by a live Fashion Show and then a free after party! This will be a great night to bring friends and enjoy!!!</p> ,1411703,SKYROOM TIMES SQUARE,40.75645065307617,-73.99252319335938,New York,us
45494,249978940,1524238719000,Indian bridal shoot with Sheena,past,1525177800000,1525192632000,3,3,https://www.meetup.com/nycphotography/events/249978940/,"<p>Indian bridal shoot!!<br/>Tues May 1, 8:30-10:30am<br/>Central Park in front of beautiful cherry blossom trees, exact location will be provided upon RSVP</p> <p>come shoot beautiful Sheena in an Indian bridal dress - $150 per photographer</p> <p>❗️Only 1 spot left. This shoot is limited to 2 photographers❗️</p> ",Null,Null,Null,Null,Null,Null
45494,249979248,1524239478000,Holi photoshoot with Monica,past,1525008600000,1525017676000,4,4,https://www.meetup.com/nycphotography/events/249979248/,<p>Holi photoshoot!!</p> <p>come shoot me as I throw colorful powder in the air in Washington Square Park</p> <p>Sun April 29<br/>time slot 1: 9:30-10am $25<br/>time slot 2: 10-10:30am $25<br/>time slot 3: 10:30-11 $25</p> <p>2 time slots (1 hour) $39<br/>all 3 time slots (1.5 hours) $59</p> <p>this should be a fun one!!</p> ,24795517,Washington Square Park - on grass,40.75,-73.98999786376953, northwest corner,us
